figure,panels,sample_state,temperature_C,frequency_Hz,epsilon_real,epsilon_loss,digitization_score_real,digitization_score_loss,selection,provenance
Figure2,C/D,poled,-30,1,12.873563,0.73541041,9.486833,9.8488578,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-30,1.9952623,12.413793,0.77834194,5.3851648,7.2801099,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-30,5.0118723,12.183908,0.80834645,8.2462113,10.86278,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-30,10,11.666667,0.88015371,12.124356,11,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-30,25.118864,11.206897,0.92276774,10.099505,10.049876,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-30,50.118723,10.632184,0.94038557,6.164414,21.18962,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-30,125.89254,10.057471,0.967445,13.96424,5.7445626,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-30,251.18864,9.7126437,0.94932022,9,6.7082039,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-30,630.95734,9.0804598,0.92276774,13.490738,3,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-30,1258.9254,8.3908046,0.8636643,5.3851648,17.029386,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-20,15.848932,13.735632,0.70811317,2.236068,3,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-20,31.622777,13.62069,0.78573701,3.3166248,2.4494897,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-20,79.432823,12.988506,0.89695793,2.236068,3.7416574,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-20,158.48932,12.758621,1.073497,1.4142136,2,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-20,398.10717,11.896552,1.1799635,2.4494897,2.4494897,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-20,794.32823,11.321839,1.2254503,3.7416574,3.1622777,ALPHA_WINDOW,DIGITIZED_SOURCE
Figure2,C/D,poled,-20,1995.2623,10.632184,1.2969892,3.6055513,6,ALPHA_WINDOW,DIGITIZED_SOURCE
