figure,panel,sample_state,temperature_C,quantity,value,unit,provenance
Figure5,B,melt-recrystallized,-80,x_RAF,0.400,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-80,x_MAF,0.010,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-75,x_RAF,0.400,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-75,x_MAF,0.010,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-70,x_RAF,0.402,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-70,x_MAF,0.008,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-65,x_RAF,0.399,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-65,x_MAF,0.011,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-60,x_RAF,0.400,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-60,x_MAF,0.010,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-55,x_RAF,0.400,fraction,DIRECT_REPORTED_TEXT
Figure5,B,melt-recrystallized,-55,x_MAF,0.008,fraction,DIRECT_REPORTED_TEXT
Figure5,B,melt-recrystallized,-50,x_RAF,0.369,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-50,x_MAF,0.041,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-45.2,x_RAF,0.331,fraction,DIRECT_REPORTED_TEXT
Figure5,B,melt-recrystallized,-45.2,x_MAF,0.079,fraction,DIRECT_REPORTED_TEXT
Figure5,B,melt-recrystallized,-40,x_RAF,0.282,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-40,x_MAF,0.128,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-35,x_RAF,0.256,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-35,x_MAF,0.154,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-30,x_RAF,0.244,fraction,DIRECT_REPORTED_TEXT
Figure5,B,melt-recrystallized,-30,x_MAF,0.166,fraction,DIRECT_REPORTED_TEXT
Figure5,B,melt-recrystallized,-25,x_RAF,0.236,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-25,x_MAF,0.174,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-20,x_RAF,0.228,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-20,x_MAF,0.182,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-15,x_RAF,0.218,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-15,x_MAF,0.192,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-10,x_RAF,0.212,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-10,x_MAF,0.198,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-5,x_RAF,0.198,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,-5,x_MAF,0.212,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,0,x_RAF,0.190,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,0,x_MAF,0.220,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,5,x_RAF,0.184,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,5,x_MAF,0.226,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,10,x_RAF,0.168,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,10,x_MAF,0.242,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,15,x_RAF,0.135,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,15,x_MAF,0.275,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,20,x_RAF,0.127,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,20,x_MAF,0.283,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,25,x_RAF,0.112,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,25,x_MAF,0.298,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,30,x_RAF,0.090,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,30,x_MAF,0.320,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,35,x_RAF,0.066,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,35,x_MAF,0.344,fraction,DIGITIZED_SOURCE
Figure5,B,melt-recrystallized,40,x_RAF,0.014,fraction,DIRECT_REPORTED_TEXT
Figure5,B,melt-recrystallized,40,x_MAF,0.396,fraction,DIRECT_REPORTED_TEXT
