figure,panel,sample_state,temperature_C,quantity,value,unit,provenance
S2,main,unpoled,-30,epsilon_MOAF,24.54,dimensionless,DIGITIZED_SOURCE
S2,main,unpoled,-25,epsilon_MOAF,27.02,dimensionless,DIGITIZED_SOURCE
S2,main,unpoled,-20,epsilon_MOAF,28.54,dimensionless,DIGITIZED_SOURCE
S2,main,unpoled,-15,epsilon_MOAF,28.5,dimensionless,DIGITIZED_SOURCE
S2,main,unpoled,-10,epsilon_MOAF,28.97,dimensionless,DIGITIZED_SOURCE
S2,main,unpoled,-5,epsilon_MOAF,28.23,dimensionless,DIGITIZED_SOURCE
S2,main,unpoled,0,epsilon_MOAF,28.66,dimensionless,DIGITIZED_SOURCE
S2,main,unpoled,5,epsilon_MOAF,28.86,dimensionless,DIGITIZED_SOURCE
S2,main,unpoled,10,epsilon_MOAF,27.79,dimensionless,DIGITIZED_SOURCE
S2,main,unpoled,15,epsilon_MOAF,25.68,dimensionless,DIGITIZED_SOURCE
S2,main,unpoled,20,epsilon_MOAF,25.44,dimensionless,DIGITIZED_SOURCE
S2,main,unpoled,25,epsilon_MOAF,24.98,dimensionless,DIGITIZED_SOURCE
S2,main,unpoled,30,epsilon_MOAF,23.98,dimensionless,DIGITIZED_SOURCE
S2,main,unpoled,35,epsilon_MOAF,23.0,dimensionless,DIGITIZED_SOURCE
S2,main,unpoled,40,epsilon_MOAF,20.5,dimensionless,DIGITIZED_SOURCE
S2,main,poled,-30,epsilon_MOAF,39.13,dimensionless,DIGITIZED_SOURCE
S2,main,poled,-25,epsilon_MOAF,40.35,dimensionless,DIGITIZED_SOURCE
S2,main,poled,-20,epsilon_MOAF,40.67,dimensionless,DIGITIZED_SOURCE
S2,main,poled,-15,epsilon_MOAF,41.45,dimensionless,DIGITIZED_SOURCE
S2,main,poled,-10,epsilon_MOAF,43.7,dimensionless,DIGITIZED_SOURCE
S2,main,poled,-5,epsilon_MOAF,41.83,dimensionless,DIGITIZED_SOURCE
S2,main,poled,0,epsilon_MOAF,42.8,dimensionless,DIGITIZED_SOURCE
S2,main,poled,5,epsilon_MOAF,43.6,dimensionless,DIGITIZED_SOURCE
S2,main,poled,10,epsilon_MOAF,41.77,dimensionless,DIGITIZED_SOURCE
S2,main,poled,15,epsilon_MOAF,38.47,dimensionless,DIGITIZED_SOURCE
S2,main,poled,20,epsilon_MOAF,38.43,dimensionless,DIGITIZED_SOURCE
S2,main,poled,25,epsilon_MOAF,38.46,dimensionless,DIGITIZED_SOURCE
S2,main,poled,30,epsilon_MOAF,38.09,dimensionless,DIGITIZED_SOURCE
S2,main,poled,35,epsilon_MOAF,35.93,dimensionless,DIGITIZED_SOURCE
S2,main,poled,40,epsilon_MOAF,31.41,dimensionless,DIGITIZED_SOURCE
